Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
24413227922,Kamala Harris,HARRIS FOR PRESIDENT,17290812,25963
24413227922,Kamala Harris,HARRIS VICTORY FUND,9485105,8566
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",5506177,13110
92021268117,Working America,Working America,3770250,3749
167251659804799,Kamala HQ,HARRIS VICTORY FUND,3480984,6293
908009612563863,NowThis Impact,NowThis Impact,3344839,988
107483817554072,WorkMoney,WorkMoney,3159490,984
104673218071670,Vote Early 2024,TECH FOR CAMPAIGNS,2763456,5046
318975057964832,America PAC,America PAC,2491593,1870
212559768612959,WinSenate,WINSENATE,2470533,697
323544107517320,Future Forward,FF PAC,2427675,931
6958677033,Tim Walz,HARRIS VICTORY FUND,2376225,3797
255594894306221,The Daily Scroll,HARRIS FOR PRESIDENT,2346050,4190
6815841748,Barack Obama,HARRIS VICTORY FUND,2101065,1713
153080620724,Donald J. Trump,Trump National Committee JFC,2091676,790
1721333671443168,Majority Forward,MAJORITY FORWARD,1819161,336
108107432370909,Kalshi - Trade the Headlines,KALSHI INC.,1715861,709
365649789960572,The Voices of Today,HARRIS FOR PRESIDENT,1630923,615
260754507296508,The Voter Participation Center,Voter Participation Center,1614547,24996
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,1554919,249
114971076538782,The Keystone,The Keystone,1532381,151
103875099042033,DailyWire+,The Daily Wire,1460093,1694
349751891551718,Rally by Relentless,RALLY BY RELENTLESS PBC,1296811,2729
286177181254418,Hard Asset Heroes,Hard Asset Heroes,1251620,318
149509599222913,Californians For Responsible Housing,"NO on 33, Californians for Responsible Housing: A Bi-Partisan Coalition of Affordable Housing Advocates, Taxpayers, Veterans, and Small Businesses, sponsored by California Apartment Association.",1230676,38
103026384819654,How to Vote,Voter Formation Project,1229182,608
106487520883333,Cardinal & Pine,Cardinal & Pine,1218044,171
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,1213484,540
381005185103661,Color the Vote: Black & Brown Edition,Poder Latinx,1171191,849
399431833254128,Right For America PAC,Right for America,1154219,2200
369380279599092,Duty to America,Duty to America PAC,1113906,591
110746996993983,The 'Gander Newsroom,The 'Gander Newsroom,1093986,161
2310488009211056,Poder Latinx,Poder Latinx,1086733,1194
1505244559517282,Colin Allred,COLIN ALLRED FOR SENATE,1081608,493
103910725985046,Forward Blue,Forward Blue,1035507,1467
55549065733,Voto Latino,VOTO LATINO INC.,991432,4307
570092813023833,Matt Walsh,The Daily Wire,969869,468
115013608538775,Yes on Prop 35,Yes On 35 - Protect Our Healthcare,951421,369
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",920030,1161
156994304362574,American Bridge 21st Century,AB PAC,915936,224
381886251679424,Future Forward USA,Future Forward USA Action,914099,30
344690446467832,The Copper Courier,The Copper Courier,852456,162
297451203462389,Preserve America,PRESERVE AMERICA PAC,839490,57
101688489586527,Yes on 4 Florida,Floridians Protecting Freedom Inc.,838291,167
11465191261,JPMorganChase,"JPMORGAN CHASE BANK, NA",828808,421
1465701377009820,Maga.com,Maga.com,824974,260
103986925248164,Proud Patriotic American,BS Promotions LLC,800869,57
139599847972,National Nurses United,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,780412,168
350316025478383,When We All Vote,When We All Vote,768143,183
20787991568,Senate Democrats,DSCC,750126,592
1576552839287418,Senate Leadership Fund,Senate Leadership Fund,741489,224
447004125160255,Progress 2028,Progress 2028,727124,855
179380691926371,Building America's Future,Americans for Consumer Protection,700055,47
105760061866321,Galvanize Action,Galvanize Action,695481,321
22561081832,NRA Institute for Legislative Action,National Rifle Association Institute for Legislative Action,683286,523
106438637853917,One For All Committee,ONE FOR ALL COMMITTEE,671103,428
370681112796620,Connecticut Dave,WINSENATE,665367,56
153080620724,Donald J. Trump,"TRUMP 47 COMMITTEE, INC.",654694,2156
161517677035264,Facts For Peace,Facts for Peace LLC,631425,158
223279937535149,Yes on Prop 3 - Freedom to Marry CA,EQUALITY CALIFORNIA ISSUES PAC,623259,80
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,619263,713
8382221278,HeadCount,HEAD COUNT INC,606778,937
10461186460,Ben & Jerry's,"BEN & JERRY'S HOMEMADE, INC.",600867,1517
363897706812266,Sendthevote,Send the Vote,595165,4415
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),590679,773
113595901816074,The Nevadan,The Nevadan,586594,249
103213601095503,ParentsTogether Action,ParentsTogether Action,555585,1543
407079575824565,Maha Alliance,MAHA ALLIANCE,550973,107
102113962612618,Smart & Safe Florida,Smart and Safe Florida,530925,140
121268821249550,World Central Kitchen,World Central Kitchen,529579,209
366836956504946,Vote No on 3,No on 3,518854,212
163734473485371,Unlocking America's Future,Unlocking America's Future,507639,157
215653202574079,Future Majority,"Future Majority, Inc",504705,259
216397232833,Penzeys Spices,Penzeys Ltd,500586,64
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,495769,187
385473284886474,Hillsdale College,Hillsdale College,483833,844
57259033959,AARP,AARP,482585,430
204357292765564,Missourians for Constitutional Freedom,Missourians for Constitutional Freedom,482580,460
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,466328,194
358087647388044,Alina Habba,Trump National Committee JFC,460103,804
284946111858895,Debbie Mucarsel-Powell,DEBBIE FOR FLORIDA,459237,347
6266829799,Sherrod Brown,FRIENDS OF SHERROD BROWN,456217,625
428072383714804,Vote Yes on 3 Massachusetts,United for Justice,447056,67
470241276500901,Women Vote,WOMEN VOTE!,445058,47
187005858017014,Climate Power,Climate Power,440112,434
423518777517049,RBG PAC,RBG PAC,435455,111
107970594718636,Publius Quiz,Public Results LLC,430900,458
256455617561226,futurevoice,FutureVoice,429538,40
6781166087,Bob Casey,BOB CASEY FOR SENATE INC,427447,1997
385851161283691,Medicare Advantage Majority,Medicare Advantage Majority,427146,173
105383438736010,The Sentinel Action Fund,Sentinel Action Fund,425623,281
102540204580217,UpNorthNews,UpNorthNews,421431,155
1012679305536045,Elissa Slotkin,Elissa Slotkin for Michigan,414224,467
101147562054748,Voter Formation Project,Voter Formation Project,403818,770
228754857151053,House Majority PAC,HMP,397837,104
106487520883333,Cardinal & Pine,"Courier Newsroom, Inc.",397579,61
192648713924429,Montanans Securing Reproductive Rights,Montanans Securing Reproductive Rights,377936,50
106283878845998,Judicial Fairness PAC,Judicial Fairness PAC,376565,113
474227102732389,Turning Point Action,Turning Point Action,373448,135
303374266418976,AFPM,American Fuel & Petrochemical Manufacturers,363684,138
80892038525,Ohio Democratic Party,OHIO DEMOCRATIC PARTY,359611,119
8501031021,VoteVets,VOTEVETS,353815,56
107258988442129,YES on Question 3 NV,Vote Yes on 3,350396,121
200650357207240,I Love My Freedom,I Love My Freedom,346713,716
362807823584687,Yes On Prop 4,"Yes on Prop 4, Californians for Safe Drinking Water and Wildfire Prevention, Sponsored by Environmental Organizations",343378,177
101165966152,AFL-CIO,AFL-CIO,342833,138
418324948036379,FC PAC,FC PAC,336195,37
69983322463,Ted Cruz,TED CRUZ FOR SENATE,325027,135
319689884555113,Republican State,republican state,320849,1445
18982436812,ACLU,American Civil Liberties Union,320830,505
1338822066131069,Women's March,Women's March,319025,1147
218020061613734,UBS,UBS Financial Services Inc.,316549,23
110316380149,Family Policy Alliance,Family Policy Alliance,315692,58
357600634104310,The Wisco Project,THE WISCO PROJECT PAC,306519,105
192871820586689,Last Best Place PAC,LAST BEST PLACE PAC,292407,72
101579622742246,DemocracyFIRST,DemocracyFIRST,292120,301
104487265233222,JD Vance,Trump National Committee JFC,285451,387
361090793764232,Helping Hands,Helping Hands for Americans Group,284157,583
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,283553,2266
194981393894304,Free Enterprise Alliance,Free Enterprise Alliance,283012,299
179433541931012,Pennsylvania Megaphone,People Power Pennsylvania,282313,253
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",281685,161
1750023331976163,The States Project,THE PAC FOR AMERICA'S FUTURE,276244,38
1411189272541151,"Robert F. Kennedy, Jr",TEAM KENNEDY,276015,44
100684991996307,November Coalition,NOVEMBER COALITION,272646,39
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,270084,2558
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,267373,257
8934429638,Planned Parenthood Action,Planned Parenthood Votes,267360,66
1435071773455316,Daily Wire,The Daily Wire,265198,152
23790541544,Democrats,DCCC,263158,378
18079407397,CPAC,AMERICAN CONSERVATIVE UNION,262130,250
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,260931,357
169597416843751,Stand Up America,Stand Up America,257377,54
185997467933016,The Tech Prophet,The Tech Prophet,252869,429
236346249566038,Voters First Colorado,Colorado Voters First,252806,28
309798029121030,Everytown for Gun Safety,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),250302,99
414738405048167,Vote To Live,Vote to Live Action Fund,248711,67
442964762229147,Ohioans for Judicial Integrity,OHIOANS FOR JUDICIAL INTEGRITY,247090,16
6250307292,Washington Post,Washington Post,243713,223
282299904972584,Getting Help in America,Getting Help in America,242884,711
8492293163,Environmental Defense Fund,Environmental Defense Fund,242007,631
100449249509883,David Miles Hogg,LEADERS WE DESERVE,241482,403
39813692310,Michigan Democratic Party,Michigan Democratic State Central Committee,239632,245
120282284502763,Montana Updates,MONTANANS FOR TESTER,239490,145
223055747744143,Beto O'Rourke,Powered By People,238869,855
172758932738142,PhRMA,PhRMA,236269,242
107391351117812,National Women's Law Center Action Fund,National Women's Law Center Action Fund,235596,142
451560151367141,FF PAC,FF PAC,235073,265
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",231216,218
769672130075351,Red Wine and Blue,Red Wine & Blue,230452,1768
171287339973880,LCV Victory Fund,LCV VICTORY FUND,229788,34
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,223032,184
118802984645347,Stand with Crypto,"Stand with Crypto Alliance, Inc.",222994,95
210598158304,Tucker Carlson,"Last Country, Inc.",220718,19
307329429129904,Investing in Arkansas,Investing in Arkansas,219656,79
437135909481862,Outsourcing Dave McCormick,LCV VICTORY FUND,219081,8
100226929439484,Stop Houston Murders PAC,Stop Houston Murders PAC,218583,72
114971076538782,The Keystone,"Courier Newsroom, Inc.",215363,51
6476528946,NAACP,National Association for the Advancement of Colored People (NAACP),214614,345
395723566958472,vote.pa,Commonwealth Communications,214021,152
104856814505092,The Kids Guide,The Kids Guide,212495,45
203805062990264,Ben Shapiro,The Daily Wire,210467,245
348592111669859,What's Up With Hate,"Foundation to Combat Anti-Semitism, Inc.",210078,20
18982436812,ACLU,American Civil Liberties Union Foundation,209536,139
304600892905134,Hillsdale College Online Courses,Hillsdale College,205795,835
141072965762934,Steve Garvey,STEVE GARVEY FOR US SENATE,205130,78
161183970656851,Ruben Gallego,Gallego for Arizona,205121,24
101707049691631,Arizona for Abortion Access,Arizona for Abortion Access,204126,129
484014708397546,Republic Restoratives Distillery,REPUBLIC RESTORATIVES INC,201952,36
161183970656851,Ruben Gallego,GALLEGO FOR ARIZONA,201859,190
137740286276587,Planned Parenthood Affiliates of California,Planned Parenthood Affiliates of California,201490,47
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",198749,1446
103075334816156,UFCW Votes,UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,195695,236
92925746942,Judicial Watch,Judicial Watch,194351,131
205395906412,UAW International Union,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",191493,681
127225910653607,PragerU,PragerU,190235,724
1161149614064908,Welcome PAC,WELCOMEPAC,189911,174
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",187285,290
1632814840319802,John Fetterman,Fetterman for PA,183816,772
154561574598964,White Coat Waste Project,THE WHITE COAT WASTE PROJECT INC,183581,176
425797683954167,Vote Together,DCCC,181372,105
33110852384,Doctors Without Borders/Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières USA,180970,821
6476528946,NAACP,Priorities USA and NAACP Empowerment Programs Inc,180303,23
19437978960,Chris Murphy,FRIENDS OF CHRIS MURPHY,179249,80
210820618956311,Community Change Action,Community Change Voters,178613,144
70874333603,CatholicVote,CatholicVote,175396,96
403944229464930,The Ppls Label,The Ppls Label,174167,643
